"","no","id","l1","l2","l3","l4","l5","slope","pow"
"1",1,1,35,39,52,60,19,0.52,0.05
"2",2,1,35,39,52,60,19,1.04,0.09
"3",3,1,35,39,52,60,19,2.08,0.09
"4",4,1,35,39,52,60,19,5.2,0.18
"5",5,1,35,39,52,60,19,10.4,0.28
"6",6,1,35,39,52,60,19,20.8,0.41
"7",7,1,35,39,52,60,19,41.6,0.6
"8",1,1,13,17,60,37,21,0.52,0.06
"9",2,1,13,17,60,37,21,1.04,0.06
"10",3,1,13,17,60,37,21,2.08,0.1
"11",4,1,13,17,60,37,21,5.2,0.18
"12",5,1,13,17,60,37,21,10.4,0.23
"13",6,1,13,17,60,37,21,20.8,0.28
"14",7,1,13,17,60,37,21,41.6,0.52
"15",1,1,33,57,54,15,14,0.52,0.06
"16",2,1,33,57,54,15,14,1.04,0.06
"17",3,1,33,57,54,15,14,2.08,0.08
"18",4,1,33,57,54,15,14,5.2,0.13
"19",5,1,33,57,54,15,14,10.4,0.2
"20",6,1,33,57,54,15,14,20.8,0.37
"21",7,1,33,57,54,15,14,41.6,0.49
"22",1,1,15,53,37,40,47,0.52,0.06
"23",2,1,15,53,37,40,47,1.04,0.06
"24",3,1,15,53,37,40,47,2.08,0.06
"25",4,1,15,53,37,40,47,5.2,0.1
"26",5,1,15,53,37,40,47,10.4,0.25
"27",6,1,15,53,37,40,47,20.8,0.42
"28",7,1,15,53,37,40,47,41.6,0.63
"29",1,1,33,63,18,23,59,0.52,0.07
"30",2,1,33,63,18,23,59,1.04,0.07
"31",3,1,33,63,18,23,59,2.08,0.1
"32",4,1,33,63,18,23,59,5.2,0.17
"33",5,1,33,63,18,23,59,10.4,0.23
"34",6,1,33,63,18,23,59,20.8,0.32
"35",7,1,33,63,18,23,59,41.6,0.45
"36",1,1,19,32,61,62,24,0.52,0.05
"37",2,1,19,32,61,62,24,1.04,0.08
"38",3,1,19,32,61,62,24,2.08,0.08
"39",4,1,19,32,61,62,24,5.2,0.13
"40",5,1,19,32,61,62,24,10.4,0.23
"41",6,1,19,32,61,62,24,20.8,0.39
"42",7,1,19,32,61,62,24,41.6,0.59
"43",1,1,41,64,32,25,15,0.52,0.09
"44",2,1,41,64,32,25,15,1.04,0.09
"45",3,1,41,64,32,25,15,2.08,0.09
"46",4,1,41,64,32,25,15,5.2,0.1
"47",5,1,41,64,32,25,15,10.4,0.15
"48",6,1,41,64,32,25,15,20.8,0.28
"49",7,1,41,64,32,25,15,41.6,0.55
"50",1,1,37,49,12,34,44,0.52,0.03
"51",2,1,37,49,12,34,44,1.04,0.06
"52",3,1,37,49,12,34,44,2.08,0.14
"53",4,1,37,49,12,34,44,5.2,0.26
"54",5,1,37,49,12,34,44,10.4,0.36
"55",6,1,37,49,12,34,44,20.8,0.59
"56",7,1,37,49,12,34,44,41.6,0.83
"57",1,1,55,63,64,54,40,0.52,0.06
"58",2,1,55,63,64,54,40,1.04,0.09
"59",3,1,55,63,64,54,40,2.08,0.11
"60",4,1,55,63,64,54,40,5.2,0.17
"61",5,1,55,63,64,54,40,10.4,0.27
"62",6,1,55,63,64,54,40,20.8,0.48
"63",7,1,55,63,64,54,40,41.6,0.8
"64",1,1,17,49,39,52,30,0.52,0.06
"65",2,1,17,49,39,52,30,1.04,0.06
"66",3,1,17,49,39,52,30,2.08,0.1
"67",4,1,17,49,39,52,30,5.2,0.13
"68",5,1,17,49,39,52,30,10.4,0.22
"69",6,1,17,49,39,52,30,20.8,0.39
"70",7,1,17,49,39,52,30,41.6,0.58
"71",1,1,56,30,59,61,42,0.52,0.06
"72",2,1,56,30,59,61,42,1.04,0.07
"73",3,1,56,30,59,61,42,2.08,0.07
"74",4,1,56,30,59,61,42,5.2,0.16
"75",5,1,56,30,59,61,42,10.4,0.23
"76",6,1,56,30,59,61,42,20.8,0.41
"77",7,1,56,30,59,61,42,41.6,0.69
"78",1,1,35,12,11,21,19,0.52,0.05
"79",2,1,35,12,11,21,19,1.04,0.06
"80",3,1,35,12,11,21,19,2.08,0.07
"81",4,1,35,12,11,21,19,5.2,0.09
"82",5,1,35,12,11,21,19,10.4,0.22
"83",6,1,35,12,11,21,19,20.8,0.32
"84",7,1,35,12,11,21,19,41.6,0.53
"85",1,1,39,46,61,11,29,0.52,0.05
"86",2,1,39,46,61,11,29,1.04,0.1
"87",3,1,39,46,61,11,29,2.08,0.12
"88",4,1,39,46,61,11,29,5.2,0.22
"89",5,1,39,46,61,11,29,10.4,0.29
"90",6,1,39,46,61,11,29,20.8,0.43
"91",7,1,39,46,61,11,29,41.6,0.71
"92",1,1,39,43,31,62,12,0.52,0.06
"93",2,1,39,43,31,62,12,1.04,0.07
"94",3,1,39,43,31,62,12,2.08,0.08
"95",4,1,39,43,31,62,12,5.2,0.11
"96",5,1,39,43,31,62,12,10.4,0.17
"97",6,1,39,43,31,62,12,20.8,0.29
"98",7,1,39,43,31,62,12,41.6,0.56
"99",1,1,49,59,17,46,61,0.52,0.06
"100",2,1,49,59,17,46,61,1.04,0.1
"101",3,1,49,59,17,46,61,2.08,0.11
"102",4,1,49,59,17,46,61,5.2,0.16
"103",5,1,49,59,17,46,61,10.4,0.23
"104",6,1,49,59,17,46,61,20.8,0.4
"105",7,1,49,59,17,46,61,41.6,0.69
"106",1,2,44,39,43,64,32,0.52,0.09
"107",2,2,44,39,43,64,32,1.04,0.09
"108",3,2,44,39,43,64,32,2.08,0.18
"109",4,2,44,39,43,64,32,5.2,0.7
"110",5,2,44,39,43,64,32,10.4,1
"111",6,2,44,39,43,64,32,20.8,1
"112",7,2,44,39,43,64,32,41.6,1
"113",1,2,33,63,30,64,62,0.52,0.02
"114",2,2,33,63,30,64,62,1.04,0.02
"115",3,2,33,63,30,64,62,2.08,0.05
"116",4,2,33,63,30,64,62,5.2,0.18
"117",5,2,33,63,30,64,62,10.4,0.66
"118",6,2,33,63,30,64,62,20.8,0.98
"119",7,2,33,63,30,64,62,41.6,1
"120",1,2,32,38,43,30,63,0.52,0.07
"121",2,2,32,38,43,30,63,1.04,0.07
"122",3,2,32,38,43,30,63,2.08,0.12
"123",4,2,32,38,43,30,63,5.2,0.35
"124",5,2,32,38,43,30,63,10.4,0.77
"125",6,2,32,38,43,30,63,20.8,1
"126",7,2,32,38,43,30,63,41.6,1
"127",1,2,54,12,38,23,34,0.52,0.09
"128",2,2,54,12,38,23,34,1.04,0.1
"129",3,2,54,12,38,23,34,2.08,0.12
